latDeg,lngDeg
37.334095,-121.9004735
37.3352942,-121.8979484
37.3352942,-121.8979484
37.3353697,-121.8965961
37.3348944,-121.8962209
37.3353697,-121.8965961
37.3353123,-121.8953739
37.3358075,-121.8968079
37.3348944,-121.8962209
37.3338923,-121.8953971
37.334185,-121.8947943
37.3338923,-121.8953971
37.334185,-121.8947943
37.3332649,-121.8942365
37.3342567,-121.8946464
37.3346114,-121.8938522
37.3346114,-121.8938522
37.335082,-121.8928762
37.3346114,-121.8938522
37.3351974,-121.892961
37.335082,-121.8928762
37.335082,-121.8928762
37.3354708,-121.8920664
37.3342067,-121.8922233
37.3354708,-121.8920664
37.3357183,-121.8915509
37.3371642,-121.8933445
37.3345987,-121.8914066
37.3354708,-121.8920664
37.3354708,-121.8920664
37.3348342,-121.8909205
37.3361663,-121.8905912
37.3357183,-121.8915509
37.3361663,-121.8905912
37.3352824,-121.8899474
37.3361663,-121.8905912
37.3366849,-121.8894862
37.3366849,-121.8894862
37.3366849,-121.8894862
37.3371729,-121.8884615
37.3353282,-121.887085
37.3371729,-121.8884615
37.3376743,-121.8874064
37.3376743,-121.8874064
37.3358288,-121.8860567
37.3353282,-121.887085
37.3358288,-121.8860567
37.3330541,-121.8839698
37.3324516,-121.8849453
37.3329469,-121.8838911
37.3315239,-121.8828359
37.3295829,-121.8828191
37.3295829,-121.8828191
37.3290826,-121.8838738
37.330526,-121.8849423
37.328605,-121.884915
37.3290826,-121.8838738
37.3283616,-121.8853477
37.328605,-121.884915
37.328937,-121.8860583
37.3283616,-121.8853477
37.328937,-121.8860583
37.3294665,-121.8867122
37.3295917,-121.8868589
37.3295917,-121.8868589
37.3295917,-121.8868589
37.3308589,-121.888328
37.329438,-121.8911817
37.3308589,-121.888328
37.3308589,-121.888328
37.3310188,-121.888303
37.3315951,-121.8887163
37.3332052,-121.8900589
37.3335221,-121.8906312
37.3343137,-121.889214
37.3336278,-121.8907059
37.3336278,-121.8907059
37.3345987,-121.8914066
37.3342067,-121.8922233
37.3345987,-121.8914066
37.3348342,-121.8909205
37.3348363,-121.888113
37.3348363,-121.888113
37.3342398,-121.8876651
37.3320701,-121.8860729
37.3325615,-121.8850257
37.3319671,-121.8859947
37.3319671,-121.8859947
37.328605,-121.884915
37.330025,-121.8860039
37.330025,-121.8860039
37.330025,-121.8860039
37.3314483,-121.8870742
37.3314483,-121.8870742
37.3315622,-121.8871548
37.3315622,-121.8871548
37.3343137,-121.889214
37.3352824,-121.8899474
37.3310239,-121.8838905
37.330526,-121.8849423
37.3310239,-121.8838905
37.330025,-121.8860039
37.330526,-121.8849423
37.3310239,-121.8838905
37.3325615,-121.8850257
37.3347434,-121.886641
37.3353282,-121.887085
37.3356673,-121.8946324
37.3342567,-121.8946464
37.3353123,-121.8953739
37.3358075,-121.8968079
37.3361979,-121.8960448
37.333333,-121.8965836
37.3338923,-121.8953971
37.333333,-121.8965836
37.3312546,-121.8965223
37.3321931,-121.8990973
37.334095,-121.9004735
37.332079,-121.9002435
37.3364776,-121.8985077
37.3344984,-121.8969093
37.3344984,-121.8969093
37.3346114,-121.8938522
37.3337287,-121.8932391
37.335082,-121.8928762
37.3294665,-121.8867122
37.3345987,-121.8914066
37.3348363,-121.888113
37.3314483,-121.8870742
37.3315622,-121.8871548
37.336499,-121.8953755
37.3361979,-121.8960448
37.3305517,-121.8959161
37.334119712629686,-121.90042331789579
37.33526971572272,-121.8979986939143
37.33530255892276,-121.89792253958271
37.335367727536095,-121.8966232061277
37.334902750410905,-121.89620395625715
37.335360192813916,-121.89658859750266
37.33530394487527,-121.89539084141892
37.335797713361956,-121.89681008379526
37.33487301096496,-121.89620560534382
37.333882985715775,-121.89537728237399
37.33417914575641,-121.89480635588185
37.33389815097127,-121.89538504252968
37.334166894115384,-121.89478908529347
37.33328206001323,-121.8942500737264
37.33426393939639,-121.89463058057825
37.334603932434675,-121.89386791300203
37.334591545610536,-121.89384381231675
37.33507216788014,-121.89289551824137
37.33462022812513,-121.89383240279723
37.33519507356287,-121.89295932933709
37.33508430529138,-121.89287789972231
37.33509017953922,-121.89286020303658
37.335462862966395,-121.89208251865993
37.33422443284085,-121.89223604952426
37.335504575565615,-121.89209209281825
37.33571332497481,-121.89156119806486
37.33713187979289,-121.89331699883722
37.334616895162775,-121.89141874256242
37.33545328555214,-121.8920532946619
37.335475671362964,-121.89205605249603
37.334851684459046,-121.89093338328561
37.336157309496485,-121.89061037974083
37.33572730315652,-121.89153172619535
37.33619634464411,-121.89061335205693
37.33530026438921,-121.88996001639357
37.33617644142923,-121.89056899189696
37.33667475556243,-121.88950840672902
37.3366477223597,-121.88945901385053
37.336694113366406,-121.88946545311288
37.337162613146084,-121.88848173610837
37.33536508187126,-121.88711254662584
